metric,acc@1,acc@3,acc@5,WEF_avg,WEF_Math,WEF_Lang,WEF_Time,WEF_Chart
tarantula,61,141,164,8.806722689075631,11.208333333333334,7.764705882352941,7.0,6.315789473684211
ochiai,66,129,165,8.277310924369749,10.916666666666666,6.911764705882353,6.944444444444445,5.315789473684211
jaccard,66,135,166,8.495798319327731,11.166666666666666,7.0588235294117645,7.166666666666667,5.578947368421052
sunwoo,68,124,146,8.915966386554622,11.770833333333334,7.029411764705882,7.5,6.421052631578948
naryoung,69,137,170,8.243697478991596,10.875,6.882352941176471,6.833333333333333,5.368421052631579
donghan,50,133,161,10.731092436974789,11.708333333333334,9.588235294117647,7.5,13.368421052631579
jihun,68,139,162,8.495798319327731,11.270833333333334,6.970588235294118,6.944444444444445,5.684210526315789
tarantula_b,61,141,164,8.806722689075631,11.208333333333334,7.764705882352941,7.0,6.315789473684211
ochiai_b,66,129,165,8.277310924369749,10.916666666666666,6.911764705882353,6.944444444444445,5.315789473684211
jaccard_b,66,135,166,8.495798319327731,11.166666666666666,7.0588235294117645,7.166666666666667,5.578947368421052
sunwoo_b,68,124,146,8.915966386554622,11.770833333333334,7.029411764705882,7.5,6.421052631578948
naryoung_b,69,137,170,8.243697478991596,10.875,6.882352941176471,6.833333333333333,5.368421052631579
donghan_b,50,133,161,10.731092436974789,11.708333333333334,9.588235294117647,7.5,13.368421052631579
jihun_b,68,139,162,8.495798319327731,11.270833333333334,6.970588235294118,6.944444444444445,5.684210526315789
